Model,Sens,Sens_lb,Sens_ub,Spec,Spec_lb,Spec_ub,F1,F1_lb,F1_ub,PPV,PPV_lb,PPV_ub,NPV,NPV_lb,NPV_ub,PropR,PropR_lb,PropR_ub,TP,TN,FP,FN,Drug
SOLO,0.17,0.142,0.2,0.987,0.985,0.989,0.2349336057201225,0.2086955739184106,0.26277610635948,0.381,0.326,0.4379999999999999,0.962,0.958,0.965,0.045,0.042,0.049,115,14040,187,562,Clofazimine
Regression,0.2954209748892171,0.2612708609302558,0.3313657507496041,0.9777887116046952,0.97523198197982,0.9801473478732076,0.3352891869237217,0.30851496670788,0.3628780705294208,0.3875968992248062,0.3453396394175731,0.4311495467402933,0.9668473728106756,0.9637912014696042,0.9697127989984436,0.0454240472356414,0.0421364561039665,0.0488905134507049,200,13911,316,477,Clofazimine
DA,0.119047619047619,0.0817801933098168,0.1655695202106022,0.9993939918621764,0.998751792770544,0.9997563196923956,0.2076124567474048,0.1623319664608102,0.2589995717859665,0.8108108108108109,0.6484476216305258,0.9203788791471232,0.981132075471698,0.9785086836856038,0.9835134151040948,0.0213505041091248,0.0188189423554629,0.0241217966131856,30,11544,7,222,Delamanid
Regression,0.123015873015873,0.085134833251027,0.1700476089015467,0.9993939918621764,0.998751792770544,0.9997563196923956,0.2137931034482758,0.1680222351378492,0.2655177183073969,0.8157894736842105,0.6567380056890871,0.9225731481611514,0.9812154696132596,0.978597262586973,0.9835915501676415,0.0213505041091248,0.0188189423554629,0.0241217966131856,31,11544,7,221,Delamanid
SOLO,0.147,0.106,0.1969999999999999,0.999,0.998,0.999,0.2442244224422442,0.1969109340309615,0.296616530368409,0.725,0.583,0.841,0.982,0.979,0.984,0.021,0.019,0.024,37,11537,14,215,Delamanid
Regression,0.9148489932885906,0.9090671063095642,0.9203759821940656,0.8892687400983907,0.8859809082507937,0.8924935901220551,0.7843912965294012,0.7789275133213605,0.789780669056452,0.6864966949952785,0.6783494721496846,0.6945584279862039,0.9752491846252324,0.9735100763688408,0.9769034377708088,0.2095133472481599,0.2057822496830133,0.2132815316718263,8724,31995,3984,812,Ethambutol
SOLO,0.8109999999999999,0.8029999999999999,0.8190000000000001,0.916,0.913,0.919,0.7623318385650224,0.7564134363277083,0.7681749986397665,0.7190000000000001,0.71,0.728,0.948,0.946,0.95,0.21,0.206,0.213,7735,32957,3022,1801,Ethambutol
DA,0.8104026845637584,0.8023884981770911,0.8182268161343801,0.9160343533728008,0.9131210596432128,0.9188802849290522,0.7619423219127434,0.7560194968201984,0.7677899870882726,0.7189506000558191,0.7103477884569562,0.7274346629314425,0.9479951676925732,0.9456091204349206,0.950306017970144,0.2095133472481599,0.2057822496830133,0.2132815316718263,7728,32958,3021,1808,Ethambutol
Regression,0.8082427017744706,0.7973185173211931,0.818822506560221,0.8305829882128066,0.8246213661865871,0.8364218204120777,0.6980883322346737,0.6898325172466896,0.7062490437713914,0.6143582306018854,0.6027502646063102,0.6258694072159162,0.928423901431522,0.924034952402532,0.9326342959839392,0.2503343523118074,0.2444773811669131,0.2562607210152754,4236,13036,2659,1005,Ethionamide
SOLO,0.748,0.736,0.76,0.8590000000000001,0.853,0.8640000000000001,0.6893400123033658,0.6807457508046952,0.6978373080746609,0.639,0.627,0.6509999999999999,0.911,0.906,0.915,0.25,0.244,0.256,3922,13479,2216,1319,Ethionamide
DA,0.7053997328754055,0.6928506588027682,0.7177196910435378,0.8711691621535521,0.8658272836225663,0.8763730584696473,0.6746350364963504,0.6657726222329426,0.6834045931231153,0.6464416856093723,0.6338916666662423,0.6588421351813994,0.8985345337451535,0.8936277799436628,0.9032883248619632,0.2503343523118074,0.2444773811669131,0.2562607210152754,3697,13673,2022,1544,Ethionamide
Regression,0.9309340842919192,0.9274165385061924,0.934331480168686,0.9761844712664384,0.9743220173013036,0.9779463006942448,0.9487304212472032,0.9465545720902606,0.9508426202698856,0.967220431440615,0.9646696818613196,0.9696352836165786,0.949301005570933,0.9466922182226982,0.9518178421925396,0.4301523426271917,0.4257494409084436,0.4345635710485382,19504,27094,661,1447,Isoniazid
SOLO,0.916,0.912,0.92,0.979,0.978,0.981,0.9425778563709598,0.940274060022683,0.9448182810048684,0.971,0.968,0.973,0.939,0.936,0.942,0.43,0.426,0.435,19189,27179,576,1762,Isoniazid
DA,0.9069256837382464,0.9029110375961056,0.910827004812794,0.9819491983426408,0.980313473514202,0.9834828883133252,0.93941116851655,0.9370422332822784,0.9417167861981264,0.9743103271459338,0.9719922805066616,0.9764854555423342,0.9332283248870018,0.9303048879892613,0.9360652152604068,0.4301523426271917,0.4257494409084436,0.4345635710485382,19001,27254,501,1950,Isoniazid
DA,0.7464275707481087,0.7318161018185689,0.7606343401304052,0.9657830866606386,0.9632360662830732,0.9682001634618088,0.766398158803222,0.7562694531319987,0.7763029728499716,0.7874667454921667,0.773287756260751,0.801147108716765,0.957309307042785,0.9545009642069532,0.9599913558532036,0.1451875355951509,0.1408054041639279,0.1496537248478925,2664,20294,719,905,Kanamycin
SOLO,0.7490000000000001,0.7340000000000001,0.763,0.967,0.964,0.969,0.7704280155642024,0.7603482602474357,0.7802800515831828,0.7929999999999999,0.779,0.807,0.958,0.955,0.96,0.145,0.141,0.15,2673,20316,697,896,Kanamycin
Regression,0.7691230036424769,0.7549406744723264,0.7828631792153619,0.9561699900061866,0.953314447469633,0.958898449748733,0.7588113337940566,0.7487814362157854,0.7686322826074019,0.7487725040916531,0.7344014112689795,0.7627459040922405,0.9606043220501052,0.957879254482186,0.9632003975782534,0.1451875355951509,0.1408054041639279,0.1496537248478925,2745,20092,921,824,Kanamycin
SOLO,0.848,0.8390000000000001,0.857,0.969,0.967,0.971,0.8643067846607669,0.8579193234747201,0.8705096274993558,0.8809999999999999,0.873,0.89,0.959,0.957,0.962,0.213,0.208,0.218,4981,21031,671,893,Levofloxacin
DA,0.8406537282941777,0.8310401848484448,0.849927621643526,0.9717076767118238,0.9694144836014368,0.973873325153751,0.8643444775074391,0.8579292549006539,0.8705734393659567,0.8894092219020173,0.8808640372227663,0.8975426622323295,0.9575009081002542,0.9547530010007902,0.9601272238022878,0.2130113141862489,0.2081911528974862,0.2178920149034122,4938,21088,614,936,Levofloxacin
Regression,0.8581886278515491,0.849004380487072,0.8670155348466155,0.9649801861579578,0.962448276160412,0.9673865371223388,0.8635546038543898,0.8571946093016045,0.8697327265901158,0.8689881054990519,0.8600333580290029,0.877569921294911,0.9617451205510908,0.959112096600136,0.9642539426245934,0.2130113141862489,0.2081911528974862,0.2178920149034122,5041,20942,760,833,Levofloxacin
SOLO,0.34,0.292,0.39,0.998,0.997,0.999,0.4738805970149253,0.4309217064814172,0.5171289422247743,0.784,0.713,0.845,0.986,0.984,0.988,0.021,0.019,0.023,127,17601,35,247,Linezolid
Regression,0.3288770053475935,0.2814472890347163,0.3790417212487791,0.9980721251984576,0.9973070204010844,0.9986645325614156,0.4632768361581921,0.4202292794933293,0.5067352484775711,0.7834394904458599,0.7107471634250988,0.8451207095818869,0.9859407382512744,0.9841043042163392,0.9876162659692992,0.0207662409772348,0.0187335011576995,0.0229557035338364,123,17602,34,251,Linezolid
DA,0.3181818181818182,0.2712440820669645,0.3680263621381014,0.9981855295985484,0.997439466098178,0.9987585827622488,0.4533333333333333,0.410164609259275,0.4970302190297342,0.7880794701986755,0.7142063472254759,0.8503024169678336,0.9857214849655636,0.9838722185314044,0.9874099975038126,0.0207662409772348,0.0187335011576995,0.0229557035338364,119,17604,32,255,Linezolid
Regression,0.8630272952853598,0.8520248334986217,0.8735004654612071,0.9349437423345598,0.9313193394230914,0.9384325584096516,0.7969752520623281,0.7883805295673262,0.8053712784575112,0.7403150276713495,0.7275238528876482,0.7528068710763479,0.9694774675145148,0.966866022355671,0.9719364697925076,0.1768862748540578,0.1719510534963284,0.1819040678829014,3478,17533,1220,552,Moxifloxacin
SOLO,0.857,0.846,0.868,0.935,0.932,0.939,0.794114266007587,0.7854618906534551,0.8025692097159907,0.74,0.727,0.752,0.968,0.966,0.971,0.177,0.172,0.182,3454,17538,1215,576,Moxifloxacin
DA,0.8496277915632754,0.8382151512676792,0.8605309693085783,0.9395296752519596,0.936022853323796,0.9428994339856756,0.7973917093619003,0.7887323058068856,0.8058488791432564,0.7512066695919263,0.7383879948314663,0.7637027332932912,0.9667489711934156,0.9640429391896044,0.9693047052006558,0.1768862748540578,0.1719510534963284,0.1819040678829014,3424,17619,1134,606,Moxifloxacin
Regression,0.8025276461295419,0.790495609128148,0.8141595714476284,0.973709142586452,0.9711833063949714,0.976069996555655,0.8435535523662674,0.8356213441968618,0.8512475377247126,0.889,0.8788546083218521,0.898573131659194,0.9494774525088052,0.9461104059583688,0.9526925247337832,0.2078427693606642,0.202412674918243,0.2133526383093524,3556,16444,444,875,Pyrazinamide
SOLO,0.78,0.768,0.792,0.979,0.976,0.981,0.8379590352684523,0.8298284324555648,0.8458501913259112,0.905,0.895,0.914,0.944,0.941,0.948,0.208,0.2019999999999999,0.213,3457,16525,363,974,Pyrazinamide
DA,0.7786052809749492,0.7660861676104651,0.7907561107723665,0.978742302226433,0.9764529636854652,0.980864618215866,0.837378640776699,0.8292312291274148,0.8452866996782925,0.9057495405618272,0.8960256105304553,0.9148455985084194,0.9439748715019988,0.9404656417646742,0.94733571488323,0.2078427693606642,0.202412674918243,0.2133526383093524,3450,16529,359,981,Pyrazinamide
SOLO,0.933,0.929,0.937,0.969,0.967,0.971,0.9375856929955292,0.9349441776687972,0.940151136829261,0.942,0.939,0.946,0.963,0.961,0.966,0.353,0.349,0.358,15728,29908,961,1133,Rifampicin
DA,0.902674811695629,0.8981015601555906,0.9071086196495988,0.979915125206518,0.9782879914593624,0.981451039689258,0.9308583835356716,0.9280549648809472,0.9335849754232194,0.960858585858586,0.9577211156229092,0.9638253317623844,0.9485418626528692,0.9460602172673972,0.95094139706086,0.3532579090718625,0.3489683742943608,0.357565297567475,15220,30249,620,1641,Rifampicin
Regression,0.9298973963584604,0.925939248125852,0.9337064668303808,0.9701318474845314,0.968171928233132,0.9720026176237494,0.9371227063534756,0.9344687391087024,0.939700483980487,0.944461177037528,0.9408684915333188,0.9478971271249788,0.9620289761958304,0.9598461787243048,0.9641250017842812,0.3532579090718625,0.3489683742943608,0.357565297567475,15679,29947,922,1182,Rifampicin
DA,0.7948126801152737,0.7869250263854168,0.8025350797995149,0.9416095455699416,0.9378342535476644,0.9452207518981696,0.8441134462354621,0.8389591116462347,0.8491655040005462,0.8999347400478573,0.8936190680107922,0.9059957017330668,0.8741456516615602,0.8690619310034741,0.8791007773173697,0.3978445310708553,0.3919065516284088,0.4038052052425998,8274,14836,920,2136,Streptomycin
SOLO,0.797,0.789,0.805,0.941,0.937,0.944,0.8448925552500255,0.8397529922297834,0.8499297865502679,0.899,0.893,0.905,0.875,0.87,0.88,0.3979999999999999,0.392,0.4039999999999999,8296,14824,932,2114,Streptomycin
Regression,0.8972142170989433,0.8912210229104633,0.902984163575612,0.9055597867479056,0.9008865946506506,0.9100826245343224,0.8795555137018551,0.8751025500921557,0.8839042967489897,0.8625785001847063,0.8559499535511266,0.8690114149039937,0.9302386230277742,0.9260922992464128,0.9342208540116964,0.3978445310708553,0.3919065516284088,0.4038052052425998,9340,14268,1488,1070,Streptomycin
